Year,Units,Verstädterungsgrad,Value
2004,m² pro Jahr,,-5.096
2005,m² pro Jahr,,-4.971
2006,m² pro Jahr,,-4.848
2007,m² pro Jahr,,-4.728
2008,m² pro Jahr,,-4.609
2009,m² pro Jahr,,-4.33
2010,m² pro Jahr,,-4.035
2011,m² pro Jahr,,-4.223
2012,m² pro Jahr,,-3.798
2013,m² pro Jahr,,-3.636
2014,m² pro Jahr,,-3.693
2015,m² pro Jahr,,-2.876
2016,m² pro Jahr,,-2.715
2017,m² pro Jahr,,-2.764
2018,m² pro Jahr,,-2.795
2019,m² pro Jahr,,-2.766
2020,m² pro Jahr,,-2.836
2021,m² pro Jahr,,-2.711
2004,m² pro Jahr,Nicht-ländliche Gebiete,-1.804
2005,m² pro Jahr,Nicht-ländliche Gebiete,-1.77
2006,m² pro Jahr,Nicht-ländliche Gebiete,-1.737
2007,m² pro Jahr,Nicht-ländliche Gebiete,-1.702
2008,m² pro Jahr,Nicht-ländliche Gebiete,-1.668
2009,m² pro Jahr,Nicht-ländliche Gebiete,-1.547
2010,m² pro Jahr,Nicht-ländliche Gebiete,-1.472
2011,m² pro Jahr,Nicht-ländliche Gebiete,-1.391
2012,m² pro Jahr,Nicht-ländliche Gebiete,-1.229
2013,m² pro Jahr,Nicht-ländliche Gebiete,-1.18
2014,m² pro Jahr,Nicht-ländliche Gebiete,-1.051
2015,m² pro Jahr,Nicht-ländliche Gebiete,-0.952
2016,m² pro Jahr,Nicht-ländliche Gebiete,-0.644
2017,m² pro Jahr,Nicht-ländliche Gebiete,-0.641
2018,m² pro Jahr,Nicht-ländliche Gebiete,-0.572
2019,m² pro Jahr,Nicht-ländliche Gebiete,-0.48
2020,m² pro Jahr,Nicht-ländliche Gebiete,-0.652
2021,m² pro Jahr,Nicht-ländliche Gebiete,-0.54
2004,m² pro Jahr,Ländliche Gebiete,-7.445
2005,m² pro Jahr,Ländliche Gebiete,-7.26
2006,m² pro Jahr,Ländliche Gebiete,-7.082
2007,m² pro Jahr,Ländliche Gebiete,-6.909
2008,m² pro Jahr,Ländliche Gebiete,-6.742
2009,m² pro Jahr,Ländliche Gebiete,-6.358
2010,m² pro Jahr,Ländliche Gebiete,-5.913
2011,m² pro Jahr,Ländliche Gebiete,-6.306
2012,m² pro Jahr,Ländliche Gebiete,-5.696
2013,m² pro Jahr,Ländliche Gebiete,-5.458
2014,m² pro Jahr,Ländliche Gebiete,-5.66
2015,m² pro Jahr,Ländliche Gebiete,-4.32
2016,m² pro Jahr,Ländliche Gebiete,-4.278
2017,m² pro Jahr,Ländliche Gebiete,-4.371
2018,m² pro Jahr,Ländliche Gebiete,-4.487
2019,m² pro Jahr,Ländliche Gebiete,-4.51
2020,m² pro Jahr,Ländliche Gebiete,-4.503
2021,m² pro Jahr,Ländliche Gebiete,-4.368
