Year,Value,Units,Series
1999,2.852,Prozent,Daten des Statistischen Bundesamtes
2001,3.573,Prozent,Daten des Statistischen Bundesamtes
2002,,Prozent,Daten des Statistischen Bundesamtes
2003,4.299,Prozent,Daten des Statistischen Bundesamtes
2004,,Prozent,Daten des Statistischen Bundesamtes
2005,4.593,Prozent,Daten des Statistischen Bundesamtes
2006,,Prozent,Daten des Statistischen Bundesamtes
2007,5.079,Prozent,Daten des Statistischen Bundesamtes
2008,,Prozent,Daten des Statistischen Bundesamtes
2009,,Prozent,Daten des Statistischen Bundesamtes
2010,5.636,Prozent,Daten des Statistischen Bundesamtes
2011,,Prozent,Daten des Statistischen Bundesamtes
2012,5.76,Prozent,Daten des Statistischen Bundesamtes
2013,6.04,Prozent,Daten des Statistischen Bundesamtes
2014,6.18,Prozent,Daten des Statistischen Bundesamtes
2015,6.34,Prozent,Daten des Statistischen Bundesamtes
2016,6.82,Prozent,Daten des Statistischen Bundesamtes
2017,6.82,Prozent,Daten des Statistischen Bundesamtes
2018,7.34,Prozent,Daten des Statistischen Bundesamtes
2019,7.75,Prozent,Daten des Statistischen Bundesamtes
2020,9.59,Prozent,Daten des Statistischen Bundesamtes
2021,9.687,Prozent,Daten des Statistischen Bundesamtes
2000,,Prozent,Daten des Statistischen Bundesamtes
2030,,Prozent,Daten des Statistischen Bundesamtes
