Year,Units,degree of urbanisation,Value
2004,m² per year,,-5.096
2005,m² per year,,-4.971
2006,m² per year,,-4.848
2007,m² per year,,-4.728
2008,m² per year,,-4.609
2009,m² per year,,-4.33
2010,m² per year,,-4.035
2011,m² per year,,-4.223
2012,m² per year,,-3.798
2013,m² per year,,-3.636
2014,m² per year,,-3.693
2015,m² per year,,-2.876
2016,m² per year,,-2.715
2017,m² per year,,-2.764
2018,m² per year,,-2.795
2019,m² per year,,-2.766
2020,m² per year,,-2.836
2021,m² per year,,-2.711
2004,m² per year,non-rural areas,-1.804
2005,m² per year,non-rural areas,-1.77
2006,m² per year,non-rural areas,-1.737
2007,m² per year,non-rural areas,-1.702
2008,m² per year,non-rural areas,-1.668
2009,m² per year,non-rural areas,-1.547
2010,m² per year,non-rural areas,-1.472
2011,m² per year,non-rural areas,-1.391
2012,m² per year,non-rural areas,-1.229
2013,m² per year,non-rural areas,-1.18
2014,m² per year,non-rural areas,-1.051
2015,m² per year,non-rural areas,-0.952
2016,m² per year,non-rural areas,-0.644
2017,m² per year,non-rural areas,-0.641
2018,m² per year,non-rural areas,-0.572
2019,m² per year,non-rural areas,-0.48
2020,m² per year,non-rural areas,-0.652
2021,m² per year,non-rural areas,-0.54
2004,m² per year,rural areas,-7.445
2005,m² per year,rural areas,-7.26
2006,m² per year,rural areas,-7.082
2007,m² per year,rural areas,-6.909
2008,m² per year,rural areas,-6.742
2009,m² per year,rural areas,-6.358
2010,m² per year,rural areas,-5.913
2011,m² per year,rural areas,-6.306
2012,m² per year,rural areas,-5.696
2013,m² per year,rural areas,-5.458
2014,m² per year,rural areas,-5.66
2015,m² per year,rural areas,-4.32
2016,m² per year,rural areas,-4.278
2017,m² per year,rural areas,-4.371
2018,m² per year,rural areas,-4.487
2019,m² per year,rural areas,-4.51
2020,m² per year,rural areas,-4.503
2021,m² per year,rural areas,-4.368
