Year,time series,Units,Sex,Value
2011,,Anzahl,Insgesamt,201490.0
2012,,Anzahl,Insgesamt,197463.0
2013,,Anzahl,Insgesamt,197357.0
2014,,Anzahl,Insgesamt,188227.0
2015,,Anzahl,Insgesamt,190971.0
2016,,Anzahl,Insgesamt,185666.0
2017,,Anzahl,Insgesamt,182982.0
2018,,Anzahl,Insgesamt,184486.0
2019,,Anzahl,Insgesamt,178810.0
2020,,Anzahl,Insgesamt,187391.0
2011,,"per 100,000 inhabitants",Insgesamt,257.93
2012,,"per 100,000 inhabitants",Insgesamt,252.8
2013,,"per 100,000 inhabitants",Insgesamt,253.78
2014,,"per 100,000 inhabitants",Insgesamt,243.34
2015,,"per 100,000 inhabitants",Insgesamt,249.22
2016,,"per 100,000 inhabitants",Insgesamt,244.56
2017,,"per 100,000 inhabitants",Insgesamt,241.05
2018,,"per 100,000 inhabitants",Insgesamt,241.0
2019,,"per 100,000 inhabitants",Insgesamt,231.41
2020,,"per 100,000 inhabitants",Insgesamt,238.07
2030,,"per 100,000 inhabitants",Insgesamt,
2011,,Anzahl,Männer,130920.0
2012,,Anzahl,Männer,128083.0
2013,,Anzahl,Männer,127388.0
2014,,Anzahl,Männer,121696.0
2015,,Anzahl,Männer,122990.0
2016,,Anzahl,Männer,119291.0
2017,,Anzahl,Männer,117186.0
2018,,Anzahl,Männer,117914.0
2019,,Anzahl,Männer,114327.0
2020,,Anzahl,Männer,120640.0
2011,,"per 100,000 inhabitants",Männer,347.65
2012,,"per 100,000 inhabitants",Männer,339.92
2013,,"per 100,000 inhabitants",Männer,339.09
2014,,"per 100,000 inhabitants",Männer,325.27
2015,,"per 100,000 inhabitants",Männer,331.35
2016,,"per 100,000 inhabitants",Männer,324.01
2017,,"per 100,000 inhabitants",Männer,318.21
2018,,"per 100,000 inhabitants",Männer,317.31
2019,,"per 100,000 inhabitants",Männer,304.8
2020,,"per 100,000 inhabitants",Männer,315.74
2011,,Anzahl,Frauen,70570.0
2012,,Anzahl,Frauen,69380.0
2013,,Anzahl,Frauen,69969.0
2014,,Anzahl,Frauen,66531.0
2015,,Anzahl,Frauen,67981.0
2016,,Anzahl,Frauen,66375.0
2017,,Anzahl,Frauen,65796.0
2018,,Anzahl,Frauen,66572.0
2019,,Anzahl,Frauen,64483.0
2020,,Anzahl,Frauen,66751.0
2011,,"per 100,000 inhabitants",Frauen,174.27
2012,,"per 100,000 inhabitants",Frauen,171.48
2013,,"per 100,000 inhabitants",Frauen,174.01
2014,,"per 100,000 inhabitants",Frauen,166.63
2015,,"per 100,000 inhabitants",Frauen,172.15
2016,,"per 100,000 inhabitants",Frauen,169.95
2017,,"per 100,000 inhabitants",Frauen,168.64
2018,,"per 100,000 inhabitants",Frauen,169.34
2019,,"per 100,000 inhabitants",Frauen,162.47
2020,,"per 100,000 inhabitants",Frauen,165.1
2011,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Insgesamt,127461.0
2012,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Insgesamt,125457.5
2013,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Insgesamt,126132.0
2014,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Insgesamt,120737.5
2015,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Insgesamt,122759.0
2016,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Insgesamt,120129.5
2017,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Insgesamt,118549.0
2018,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Insgesamt,119637.0
2019,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Insgesamt,116043.0
2020,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Insgesamt,124070.0
2011,Durch Prävention vermeidbare Sterblichkeit,"per 100,000 inhabitants",Insgesamt,163.45
2012,Durch Prävention vermeidbare Sterblichkeit,"per 100,000 inhabitants",Insgesamt,160.8
2013,Durch Prävention vermeidbare Sterblichkeit,"per 100,000 inhabitants",Insgesamt,162.24
2014,Durch Prävention vermeidbare Sterblichkeit,"per 100,000 inhabitants",Insgesamt,155.92
2015,Durch Prävention vermeidbare Sterblichkeit,"per 100,000 inhabitants",Insgesamt,159.85
2016,Durch Prävention vermeidbare Sterblichkeit,"per 100,000 inhabitants",Insgesamt,157.64
2017,Durch Prävention vermeidbare Sterblichkeit,"per 100,000 inhabitants",Insgesamt,155.55
2018,Durch Prävention vermeidbare Sterblichkeit,"per 100,000 inhabitants",Insgesamt,155.65
2019,Durch Prävention vermeidbare Sterblichkeit,"per 100,000 inhabitants",Insgesamt,149.66
2020,Durch Prävention vermeidbare Sterblichkeit,"per 100,000 inhabitants",Insgesamt,157.23
2011,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Männer,89805.5
2012,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Männer,88027.0
2013,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Männer,87866.0
2014,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Männer,84179.0
2015,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Männer,84988.0
2016,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Männer,82989.5
2017,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Männer,81399.5
2018,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Männer,81802.5
2019,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Männer,79368.5
2020,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Männer,85030.0
2011,Durch Prävention vermeidbare Sterblichkeit,"per 100,000 inhabitants",Männer,238.32
2012,Durch Prävention vermeidbare Sterblichkeit,"per 100,000 inhabitants",Männer,233.42
2013,Durch Prävention vermeidbare Sterblichkeit,"per 100,000 inhabitants",Männer,233.47
2014,Durch Prävention vermeidbare Sterblichkeit,"per 100,000 inhabitants",Männer,224.37
2015,Durch Prävention vermeidbare Sterblichkeit,"per 100,000 inhabitants",Männer,228.08
2016,Durch Prävention vermeidbare Sterblichkeit,"per 100,000 inhabitants",Männer,224.21
2017,Durch Prävention vermeidbare Sterblichkeit,"per 100,000 inhabitants",Männer,219.79
2018,Durch Prävention vermeidbare Sterblichkeit,"per 100,000 inhabitants",Männer,218.89
2019,Durch Prävention vermeidbare Sterblichkeit,"per 100,000 inhabitants",Männer,210.68
2020,Durch Prävention vermeidbare Sterblichkeit,"per 100,000 inhabitants",Männer,221.86
2011,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Frauen,37655.5
2012,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Frauen,37430.5
2013,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Frauen,38266.0
2014,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Frauen,36558.5
2015,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Frauen,37771.0
2016,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Frauen,37140.0
2017,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Frauen,37149.5
2018,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Frauen,37834.5
2019,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Frauen,36674.5
2020,Durch Prävention vermeidbare Sterblichkeit,Anzahl,Frauen,39040.0
2011,Durch Prävention vermeidbare Sterblichkeit,"per 100,000 inhabitants",Frauen,93.29
