Year,Units,Series,Value
2008,2008 = 100,final energy productivity,100.0
2009,2008 = 100,final energy productivity,99.68
2010,2008 = 100,final energy productivity,96.656
2011,2008 = 100,final energy productivity,105.294
2012,2008 = 100,final energy productivity,105.294
2013,2008 = 100,final energy productivity,102.759
2014,2008 = 100,final energy productivity,110.822
2015,2008 = 100,final energy productivity,109.956
2016,2008 = 100,final energy productivity,110.263
2017,2008 = 100,final energy productivity,111.539
2018,2008 = 100,final energy productivity,116.215
2019,2008 = 100,final energy productivity,116.819
2020,2008 = 100,final energy productivity,120.019
2021,2008 = 100,final energy productivity,118.387
2022,2008 = 100,final energy productivity,124.197
2008,2008 = 100,primary energy consumption,100.0
2009,2008 = 100,primary energy consumption,94.097
2010,2008 = 100,primary energy consumption,98.867
2011,2008 = 100,primary energy consumption,94.573
2012,2008 = 100,primary energy consumption,93.514
2013,2008 = 100,primary energy consumption,96.119
2014,2008 = 100,primary energy consumption,91.654
2015,2008 = 100,primary energy consumption,92.224
2016,2008 = 100,primary energy consumption,93.817
2017,2008 = 100,primary energy consumption,94.042
2018,2008 = 100,primary energy consumption,91.303
2019,2008 = 100,primary energy consumption,89.046
2020,2008 = 100,primary energy consumption,82.72
2021,2008 = 100,primary energy consumption,86.51
2022,2008 = 100,primary energy consumption,81.712
2023,2008 = 100,primary energy consumption,75.0
2030,2008 = 100,primary energy consumption,
