Year,Value,Units,Series
1999,2.852,percentage,data from the federal statistical office
2001,3.573,percentage,data from the federal statistical office
2002,,percentage,data from the federal statistical office
2003,4.299,percentage,data from the federal statistical office
2004,,percentage,data from the federal statistical office
2005,4.593,percentage,data from the federal statistical office
2006,,percentage,data from the federal statistical office
2007,5.079,percentage,data from the federal statistical office
2008,,percentage,data from the federal statistical office
2009,,percentage,data from the federal statistical office
2010,5.636,percentage,data from the federal statistical office
2011,,percentage,data from the federal statistical office
2012,5.76,percentage,data from the federal statistical office
2013,6.04,percentage,data from the federal statistical office
2014,6.18,percentage,data from the federal statistical office
2015,6.34,percentage,data from the federal statistical office
2016,6.82,percentage,data from the federal statistical office
2017,6.82,percentage,data from the federal statistical office
2018,7.34,percentage,data from the federal statistical office
2019,7.75,percentage,data from the federal statistical office
2020,9.59,percentage,data from the federal statistical office
2021,9.687,percentage,data from the federal statistical office
2000,,percentage,data from the federal statistical office
2030,,percentage,data from the federal statistical office
