Year,Value,Units
1999,82.7,percentage
2000,82.3,percentage
2001,82.8,percentage
2002,82.2,percentage
2003,82.4,percentage
2004,82.7,percentage
2005,80.7,percentage
2006,80.5,percentage
2007,81.1,percentage
2008,81.7,percentage
2009,81.9,percentage
2010,82.3,percentage
2011,82.6,percentage
2012,82.8,percentage
2013,83.2,percentage
2014,83.8,percentage
2015,83.7,percentage
2016,83.1,percentage
2017,83.1,percentage
2018,82.9,percentage
2019,82.7,percentage
2020,81.1,percentage
2021,79.5,percentage
2022,77.9,percentage
