Year,Value,Units,Series,GeoCode
2008,21.2,percentage,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",
2009,24.0,percentage,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",
2010,25.9,percentage,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",
2011,28.0,percentage,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",
2012,30.0,percentage,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",
2013,32.6,percentage,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",
2014,34.8,percentage,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",
2015,36.9,percentage,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",
2016,38.8,percentage,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",
2017,40.4,percentage,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",
2018,42.1,percentage,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",
2019,43.5,percentage,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",
2020,43.7,percentage,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",
2030,,percentage,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",
2008,,percentage,"Anteil der Elterngeldmonate, die von Vätern genommen wurden",
2009,6.8,percentage,"Anteil der Elterngeldmonate, die von Vätern genommen wurden",
2010,,percentage,"Anteil der Elterngeldmonate, die von Vätern genommen wurden",
2011,,percentage,"Anteil der Elterngeldmonate, die von Vätern genommen wurden",
2012,,percentage,"Anteil der Elterngeldmonate, die von Vätern genommen wurden",
2013,,percentage,"Anteil der Elterngeldmonate, die von Vätern genommen wurden",
2014,,percentage,"Anteil der Elterngeldmonate, die von Vätern genommen wurden",
2015,,percentage,"Anteil der Elterngeldmonate, die von Vätern genommen wurden",
2016,,percentage,"Anteil der Elterngeldmonate, die von Vätern genommen wurden",
2017,,percentage,"Anteil der Elterngeldmonate, die von Vätern genommen wurden",
2018,,percentage,"Anteil der Elterngeldmonate, die von Vätern genommen wurden",
2019,,percentage,"Anteil der Elterngeldmonate, die von Vätern genommen wurden",
2020,9.6,percentage,"Anteil der Elterngeldmonate, die von Vätern genommen wurden",
2030,,percentage,"Anteil der Elterngeldmonate, die von Vätern genommen wurden",
